Disciplina:,Area del conocimiento:
Ciencias Naturales,Ciencias Biológicas
Ciencias Naturales,Ciencias de la Tierra y Medioambientales
Ciencias Naturales,Ciencias Físicas
Ciencias Naturales,Ciencias Químicas
Ciencias Naturales,Computación y Ciencias de la Información
Ciencias Naturales,Matemáticas
Ciencias Naturales,Otra
Ingeniería y Tecnología,Biotecnología Ambiental
Ingeniería y Tecnología,Biotecnología Industrial
Ingeniería y Tecnología,Ingeniería Ambiental
Ingeniería y Tecnología,Ingeniería Civil
Ingeniería y Tecnología,Ingeniería de los Materiales
Ingeniería y Tecnología,"Ingeniería Eléctrica, Electrónica e Informática"
Ingeniería y Tecnología,Ingeniería Mecánica
Ingeniería y Tecnología,Ingeniería Médica
Ingeniería y Tecnología,Ingeniería Química
Ingeniería y Tecnología,Nanotecnología
Ingeniería y Tecnología,Otra
Ciencias Médicas y de la Salud,Biotecnología Médica
Ciencias Médicas y de la Salud,Ciencias de la Salud
Ciencias Médicas y de la Salud,Medicina Básica
Ciencias Médicas y de la Salud,Medicina Clínica
Ciencias Médicas y de la Salud,Otra
Ciencias Agrícolas,"Agricultura, Silvicultura y Pesca"
Ciencias Agrícolas,Biotecnología Agrícola
Ciencias Agrícolas,Ciencias Animales y Lácteos
Ciencias Agrícolas,Ciencias Veterinarias
Ciencias Agrícolas,Otra
Ciencias Sociales,Ciencias de la Educación
Ciencias Sociales,Ciencias Políticas
Ciencias Sociales,Derecho
Ciencias Sociales,Economía y Negocios
Ciencias Sociales,Geografía Social y Económica
Ciencias Sociales,Periodismo y Comunicaciones
Ciencias Sociales,Psicología
Ciencias Sociales,Sociología
Ciencias Sociales,Otra
Humanidades,"Arte (Artes, Historia del Arte, Artes Escénicas, Música)"
Humanidades,"Filosofía, Ética y Religión"
Humanidades,Historia y Arqueología
Humanidades,Lenguaje y Literatura
Humanidades,Otra
