A1;Ciencias Naturales:Ciencias Biológicas
A2;Ciencias Naturales:Ciencias de la Tierra y Medioambientales
A3;Ciencias Naturales:Ciencias Físicas
A4;Ciencias Naturales:Ciencias Químicas
A5;Ciencias Naturales:Computación y Ciencias de la Información
A6;Ciencias Naturales:Matemáticas
A7;Ciencias Naturales:Otra
A8;Ingeniería y Tecnología:Biotecnología Ambiental
A9;Ingeniería y Tecnología:Biotecnología Industrial
A10;Ingeniería y Tecnología:Ingeniería Ambiental
A11;Ingeniería y Tecnología:Ingeniería Civil
A12;Ingeniería y Tecnología:Ingeniería de los Materiales
A13;Ingeniería y Tecnología:Ingeniería Eléctrica, Electrónica e Informática
A14;Ingeniería y Tecnología:Ingeniería Mecánica
A15;Ingeniería y Tecnología:Ingeniería Médica
A16;Ingeniería y Tecnología:Ingeniería Química
A17;Ingeniería y Tecnología:Nanotecnología
A18;Ingeniería y Tecnología:Otra
A19;Ciencias Médicas y de la Salud:Biotecnología Médica
A20;Ciencias Médicas y de la Salud:Ciencias de la Salud
A21;Ciencias Médicas y de la Salud:Medicina Básica
A22;Ciencias Médicas y de la Salud:Medicina Clínica
A23;Ciencias Médicas y de la Salud:Otra
A24;Ciencias Agrícolas:Agricultura, Silvicultura y Pesca
A25;Ciencias Agrícolas:Biotecnología Agrícola
A26;Ciencias Agrícolas:Ciencias Animales y Lácteos
A27;Ciencias Agrícolas:Ciencias Veterinarias
A28;Ciencias Agrícolas:Otra
A29;Ciencias Sociales:Ciencias de la Educación
A30;Ciencias Sociales:Ciencias Políticas
A31;Ciencias Sociales:Derecho
A32;Ciencias Sociales:Economía y Negocios
A33;Ciencias Sociales:Geografía Social y Económica
A34;Ciencias Sociales:Periodismo y Comunicaciones
A35;Ciencias Sociales:Psicología
A36;Ciencias Sociales:Sociología
A37;Ciencias Sociales:Otra
A38;Humanidades:Arte (Artes, Historia del Arte, Artes Escénicas, Música)
A39;Humanidades:Filosofía, Ética y Religión
A40;Humanidades:Historia y Arqueología
A41;Humanidades:Lenguaje y Literatura
A42;Humanidades:Otra
